id,type,bipartite_set,label,game_name,is_target,degree
76561198255081419,player,0,Player_081419,,False,285
76561198009415628,player,0,Player_415628,,False,374
76561198145914129,player,0,Player_914129,,False,276
76561198129140440,player,0,Player_140440,,False,252
76561198011473526,player,0,Player_473526,,False,145
76561198802004904,player,0,Player_004904,,False,39
76561198084601065,player,0,Player_601065,,False,52
76561198084365926,player,0,Player_365926,,False,521
76561198055335743,player,0,Player_335743,,False,277
76561198240534620,player,0,Player_534620,,False,249
76561198198593311,player,0,Player_593311,,False,592
76561198035538876,player,0,Player_538876,,False,378
76561198180794101,player,0,Player_794101,,False,233
76561198056192348,player,0,Player_192348,,False,283
76561198127370976,player,0,Player_370976,,False,67
76561198102283218,player,0,Player_283218,,False,174
76561198134612650,player,0,Player_612650,,False,201
76561198043226822,player,0,Player_226822,,False,846
76561198247853292,player,0,Player_853292,,False,259
76561198255468039,player,0,Player_468039,,False,62
76561198096313879,player,0,Player_313879,,False,91
76561198118863605,player,0,Player_863605,,False,360
76561198056761901,player,0,Player_761901,,False,235
76561199511117810,player,0,Player_117810,,False,122
76561198288711500,player,0,Player_711500,,False,331
76561198106919237,player,0,Player_919237,,False,105
76561198141391126,player,0,Player_391126,,False,334
76561198026135127,player,0,Player_135127,,False,620
76561198145342273,player,0,Player_342273,,False,148
76561199235127375,player,0,Player_127375,,False,288
76561198321009119,player,0,Player_009119,,False,132
76561198081315873,player,0,Player_315873,,False,387
76561198016856781,player,0,Player_856781,,False,331
76561198065069800,player,0,Player_069800,,False,213
76561198078743136,player,0,Player_743136,,False,133
76561198090200634,player,0,Player_200634,,False,370
76561198201542121,player,0,Player_542121,,False,281
76561198048528352,player,0,Player_528352,,False,106
76561198113255858,player,0,Player_255858,,False,155
76561198038076151,player,0,Player_076151,,False,305
76561198093469431,player,0,Player_469431,,False,169
76561198073045842,player,0,Player_045842,,False,633
76561198107049125,player,0,Player_049125,,False,778
76561198255076918,player,0,Player_076918,,False,99
76561198281456123,player,0,Player_456123,,False,144
76561198089125262,player,0,Player_125262,,False,356
76561198306514099,player,0,Player_514099,,False,310
76561198007349499,player,0,Player_349499,,False,528
76561198161870608,player,0,Player_870608,,False,132
76561198080869268,player,0,Player_869268,,False,395
76561198087694445,player,0,Player_694445,,False,243
76561198216848933,player,0,Player_848933,,False,211
76561198107721990,player,0,Player_721990,,False,125
76561198096739494,player,0,Player_739494,,False,415
76561198018979556,player,0,Player_979556,,False,470
76561198281897045,player,0,Player_897045,,False,84
76561198068569323,player,0,Player_569323,,False,325
76561198253609340,player,0,Player_609340,,False,322
76561198343530965,player,0,Player_530965,,False,208
76561198032939628,player,0,Player_939628,,False,132
76561198034536045,player,0,Player_536045,,False,320
76561198163066014,player,0,Player_066014,,False,287
76561198058048070,player,0,Player_048070,,False,230
76561198060131687,player,0,Player_131687,,False,2161
76561198085186841,player,0,Player_186841,,False,167
76561198070335272,player,0,Player_335272,,False,173
76561198345750561,player,0,Player_750561,,False,360
76561198019075535,player,0,Player_075535,,False,297
76561198192804201,player,0,Player_804201,,False,231
76561198325142605,player,0,Player_142605,,False,302
76561198149782646,player,0,Player_782646,,False,227
76561198153662294,player,0,Player_662294,,False,355
76561198296086673,player,0,Player_086673,,False,61
76561198047957243,player,0,Player_957243,,False,186
76561198228781236,player,0,Player_781236,,False,175
76561198184804119,player,0,Player_804119,,False,173
76561198967921830,player,0,Player_921830,,False,82
76561198402381154,player,0,Player_381154,,False,137
76561198052112197,player,0,Player_112197,,False,149
76561198017362403,player,0,Player_362403,,False,140
76561198090808234,player,0,Player_808234,,False,29
76561198149721893,player,0,Player_721893,,False,194
76561198053381419,player,0,Player_381419,,False,155
76561198013531066,player,0,Player_531066,,False,983
76561198983119529,player,0,Player_119529,,False,63
76561198919550592,player,0,Player_550592,,False,230
76561198169054161,player,0,Player_054161,,False,516
76561198117763545,player,0,Player_763545,,False,81
76561198070280209,player,0,Player_280209,,False,55
76561198066212965,player,0,Player_212965,,False,1224
76561198322917371,player,0,Player_917371,,False,123
76561198075177993,player,0,Player_177993,,False,173
76561198092915638,player,0,Player_915638,,False,373
76561198047356328,player,0,Player_356328,,False,439
76561198201974619,player,0,Player_974619,,False,164
76561198104630891,player,0,Player_630891,,False,1710
76561198127209807,player,0,Player_209807,,False,178
76561198054106390,player,0,Player_106390,,False,555
76561198309304441,player,0,Player_304441,,False,145
76561198318857656,player,0,Player_857656,,False,202
76561198082474148,player,0,Player_474148,,False,177
76561198093653706,player,0,Player_653706,,False,127
76561198042678018,player,0,Player_678018,,False,374
76561198026785178,player,0,Player_785178,,False,315
76561198874771691,player,0,Player_771691,,False,178
76561198131529717,player,0,Player_529717,,False,280
76561198131920412,player,0,Player_920412,,False,135
76561198380845671,player,0,Player_845671,,False,244
76561198104005747,player,0,Player_005747,,False,113
76561198089115500,player,0,Player_115500,,False,543
76561198061125133,player,0,Player_125133,,False,384
76561199065163054,player,0,Player_163054,,False,113
76561198083594215,player,0,Player_594215,,False,112
76561198072418848,player,0,Player_418848,,False,308
76561198196366678,player,0,Player_366678,,False,443
76561198123634460,player,0,Player_634460,,False,226
76561198091612566,player,0,Player_612566,,False,107
76561199480088396,player,0,Player_088396,,False,88
76561198178300055,player,0,Player_300055,,False,98
76561198164086347,player,0,Player_086347,,False,327
76561198137081115,player,0,Player_081115,,False,137
76561198162057633,player,0,Player_057633,,False,157
76561198106800135,player,0,Player_800135,,False,83
76561198992285540,player,0,Player_285540,,False,70
76561198254364144,player,0,Player_364144,,False,111
76561198851552649,player,0,Player_552649,,False,83
76561198121709521,player,0,Player_709521,,False,223
76561198806581924,player,0,Player_581924,,False,225
76561198377033726,player,0,Player_033726,,False,134
76561198021455321,player,0,Player_455321,,False,275
76561198195163797,player,0,Player_163797,,False,148
76561199002398234,player,0,Player_398234,,False,11
76561198097790531,player,0,Player_790531,,False,160
76561198994692543,player,0,Player_692543,,False,325
76561198045233907,player,0,Player_233907,,False,894
76561198078466405,player,0,Player_466405,,False,745
76561198091303430,player,0,Player_303430,,False,217
76561198077640133,player,0,Player_640133,,False,96
76561198042970984,player,0,Player_970984,,False,3304
76561198052789523,player,0,Player_789523,,False,259
76561198080100842,player,0,Player_100842,,False,527
76561198042899643,player,0,Player_899643,,False,250
76561198006060166,player,0,Player_060166,,False,620
76561198080957774,player,0,Player_957774,,False,491
76561198287464867,player,0,Player_464867,,False,113
76561198060494974,player,0,Player_494974,,False,145
76561198073796378,player,0,Player_796378,,False,954
76561197985364384,player,0,Player_364384,,False,2043
76561198159160842,player,0,Player_160842,,False,282
76561198032510911,player,0,Player_510911,,False,2029
76561198084921386,player,0,Player_921386,,False,419
76561198047247299,player,0,Player_247299,,False,354
76561198052593618,player,0,Player_593618,,False,56
76561198031202227,player,0,Player_202227,,False,451
76561198080120176,player,0,Player_120176,,False,1561
76561198936023494,player,0,Player_023494,,False,95
76561198150821274,player,0,Player_821274,,False,316
76561198143704895,player,0,Player_704895,,False,719
76561198121237618,player,0,Player_237618,,False,194
76561197977452020,player,0,Player_452020,,False,280
76561198106459677,player,0,Player_459677,,False,256
76561198017185298,player,0,Player_185298,,False,329
76561198082527820,player,0,Player_527820,,False,78
76561198083694852,player,0,Player_694852,,False,640
76561198039699901,player,0,Player_699901,,False,310
76561198060502415,player,0,Player_502415,,False,591
76561198065705729,player,0,Player_705729,,False,380
76561198069291813,player,0,Player_291813,,False,187
76561198076580890,player,0,Player_580890,,False,281
76561198097844457,player,0,Player_844457,,False,222
76561198137249393,player,0,Player_249393,,False,334
76561198349780819,player,0,Player_780819,,False,336
76561198854525509,player,0,Player_525509,,False,193
76561198015279110,player,0,Player_279110,,False,473
76561198241252832,player,0,Player_252832,,False,300
76561198261999637,player,0,Player_999637,,False,64
76561198035217474,player,0,Player_217474,,False,156
76561198061020471,player,0,Player_020471,,False,256
76561198079112644,player,0,Player_112644,,False,322
76561198087685763,player,0,Player_685763,,False,480
76561198310897491,player,0,Player_897491,,False,91
76561199041572450,player,0,Player_572450,,False,124
76561198104458682,player,0,Player_458682,,False,189
76561198237862572,player,0,Player_862572,,False,55
76561197960330502,player,0,Player_330502,,False,4038
76561197961108628,player,0,Player_108628,,False,555
76561197964607739,player,0,Player_607739,,False,318
76561197969650641,player,0,Player_650641,,False,431
76561197970557331,player,0,Player_557331,,False,370
76561197970640653,player,0,Player_640653,,False,2047
76561197972036385,player,0,Player_036385,,False,988
76561197978329060,player,0,Player_329060,,False,1364
76561197981861623,player,0,Player_861623,,False,569
76561197993807449,player,0,Player_807449,,False,259
76561197996850117,player,0,Player_850117,,False,933
76561197996946867,player,0,Player_946867,,False,565
76561198001534603,player,0,Player_534603,,False,5163
76561198001862154,player,0,Player_862154,,False,4266
76561198007734045,player,0,Player_734045,,False,112
76561198010216447,player,0,Player_216447,,False,3756
76561198014847580,player,0,Player_847580,,False,848
76561198050530958,player,0,Player_530958,,False,229
76561198062039759,player,0,Player_039759,,False,405
76561198067559912,player,0,Player_559912,,False,184
76561198082260429,player,0,Player_260429,,False,143
76561198130922654,player,0,Player_922654,,False,440
76561198316806379,player,0,Player_806379,,False,120
76561197960549024,player,0,Player_549024,,False,194
76561197968266548,player,0,Player_266548,,False,337
76561197968350879,player,0,Player_350879,,False,566
76561197971485348,player,0,Player_485348,,False,395
76561197971777277,player,0,Player_777277,,False,593
76561197980823956,player,0,Player_823956,,False,608
76561197988317180,player,0,Player_317180,,False,373
76561197995373063,player,0,Player_373063,,False,367
76561198033118861,player,0,Player_118861,,False,318
76561198049429715,player,0,Player_429715,,False,783
76561197963799013,player,0,Player_799013,,False,836
76561197969815248,player,0,Player_815248,,False,811
76561197991687819,player,0,Player_687819,,False,907
76561197995138062,player,0,Player_138062,,False,2894
76561197995274555,player,0,Player_274555,,False,1201
76561197998360035,player,0,Player_360035,,False,209
76561197999185377,player,0,Player_185377,,False,291
76561198001975507,player,0,Player_975507,,False,1875
76561198002118002,player,0,Player_118002,,False,336
76561198002307140,player,0,Player_307140,,False,1284
76561198008038721,player,0,Player_038721,,False,444
76561198011273442,player,0,Player_273442,,False,1572
76561198012732894,player,0,Player_732894,,False,844
76561198021245859,player,0,Player_245859,,False,455
76561198026869751,player,0,Player_869751,,False,304
76561198028537713,player,0,Player_537713,,False,1258
76561198032088203,player,0,Player_088203,,False,881
76561198032642989,player,0,Player_642989,,False,839
76561198033158521,player,0,Player_158521,,False,233
76561198035067284,player,0,Player_067284,,False,960
76561198048727417,player,0,Player_727417,,False,618
76561198052258483,player,0,Player_258483,,False,977
76561198055240106,player,0,Player_240106,,False,208
76561198058142511,player,0,Player_142511,,False,82
76561198058809118,player,0,Player_809118,,False,508
76561198066564877,player,0,Player_564877,,False,435
76561198067307234,player,0,Player_307234,,False,256
76561198103064451,player,0,Player_064451,,False,381
76561198107908697,player,0,Player_908697,,False,1172
76561198154182077,player,0,Player_182077,,False,322
76561198156029112,player,0,Player_029112,,False,224
76561198180295293,player,0,Player_295293,,False,75
76561198280400516,player,0,Player_400516,,False,113
76561198301885583,player,0,Player_885583,,False,123
76561198359392273,player,0,Player_392273,,False,415
32770,game,1,Joint Operations: Combined Arms,Joint Operations: Combined Arms,False,2
360450,game,1,Kiai Resonance,Kiai Resonance,False,2
65540,game,1,Gothic 1 Classic,Gothic 1 Classic,False,67
688130,game,1,Pogostuck: Rage With Your Friends,Pogostuck: Rage With Your Friends,False,1
262150,game,1,Vanguard Princess,Vanguard Princess,False,23
2719750,game,1,Star Birds,Star Birds,False,1
327690,game,1,Gigantic,Gigantic,False,13
10,game,1,Counter-Strike,Counter-Strike,False,261
491530,game,1,Notruf 112,Notruf 112,False,1
393230,game,1,The Youthdrainers,The Youthdrainers,False,1
426000,game,1,HunieCam Studio,HunieCam Studio,False,13
786450,game,1,Don't Bite Me Bro! +,Don't Bite Me Bro! +,False,1
458770,game,1,WRC 6,WRC 6,False,1
20,game,1,Team Fortress Classic,Team Fortress Classic,False,151
655380,game,1,Dig Dog,Dig Dog,False,1
65560,game,1,Painkiller: Redemption,Painkiller: Redemption,False,34
589850,game,1,Leashed Soul,Leashed Soul,False,1
30,game,1,Day of Defeat,Day of Defeat,False,133
32800,game,1,The Lord of the Rings: War in the North,The Lord of the Rings: War in the North,False,46
1671200,game,1,HonkaiImpact 3rd,HonkaiImpact 3rd,False,7
360480,game,1,Victory Command,Victory Command,False,12
1179680,game,1,Wurm Online,Wurm Online,False,4
1114150,game,1,CarX Street,CarX Street,False,6
40,game,1,Deathmatch Classic,Deathmatch Classic,False,131
1671210,game,1,DELTARUNE,DELTARUNE,False,5
589870,game,1,Learn to Fly 3,Learn to Fly 3,False,7
3080240,game,1,Lots of Cats in Every Moment,Lots of Cats in Every Moment,False,1
50,game,1,Half-Life: Opposing Force,Half-Life: Opposing Force,False,166
426040,game,1,Goodnight Butcher,Goodnight Butcher,False,4
622650,game,1,Bendy and the Ink Machine,Bendy and the Ink Machine,False,13
60,game,1,Ricochet,Ricochet,False,132
491580,game,1,Mahjong Destiny,Mahjong Destiny,False,9
327740,game,1,TRON 2.0,TRON 2.0,False,3
360510,game,1,Into the Stars,Into the Stars,False,1
65600,game,1,Gothic 3 Forsaken Gods Enhanced Edition,Gothic 3 Forsaken Gods Enhanced Edition,False,24
262210,game,1,Last Knight: Rogue Rider Edition,Last Knight: Rogue Rider Edition,False,9
70,game,1,Half-Life,Half-Life,False,244
1146950,game,1,Hentai Girl Fantasy,Hentai Girl Fantasy,False,8
360520,game,1,Hypt,Hypt,False,6
65610,game,1,ArcaniA: Fall of Setarrif,ArcaniA: Fall of Setarrif,False,20
2916430,game,1,Fast Food Simulator,Fast Food Simulator,False,4
458830,game,1,Snooker Nation Championship,Snooker Nation Championship,False,2
80,game,1,Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,False,255
327760,game,1,Bacon Man: An Adventure,Bacon Man: An Adventure,False,1
1048660,game,1,Knight Squad 2,Knight Squad 2,False,1
786520,game,1,SAO Utils: Beta,SAO Utils: Beta,False,1
92,game,1,Codename Gordon,Codename Gordon,False,10
98400,game,1,Hard Reset,Hard Reset,False,53
262240,game,1,Suguri,Suguri,False,4
100,game,1,Counter-Strike: Condition Zero Deleted Scenes,Counter-Strike: Condition Zero Deleted Scenes,False,255
655460,game,1,Hooligan Vasja: Halloween,Hooligan Vasja: Halloween,False,7
524390,game,1,PCMark 10,PCMark 10,False,1
229480,game,1,Dungeons & Dragons: Chronicles of Mystara,Dungeons & Dragons: Chronicles of Mystara,False,3
1114220,game,1,Gedonia,Gedonia,False,6
2162800,game,1,shapez 2 - Factory,shapez 2 - Factory,False,9
2523250,game,1,FatalZone: Outbreak,FatalZone: Outbreak,False,1
393330,game,1,Typing Instructor for Kids Platinum 5,Typing Instructor for Kids Platinum 5,False,1
262260,game,1,Jets'n'Guns Gold,Jets'n'Guns Gold,False,4
589940,game,1,Eye of the Temple,Eye of the Temple,False,1
1540210,game,1,Arizona Sunshine® 2,Arizona Sunshine® 2,False,1
1015930,game,1,Blood Rage: Digital Edition,Blood Rage: Digital Edition,False,1
557180,game,1,League of Maidens,League of Maidens,False,4
622720,game,1,Weedcraft Inc,Weedcraft Inc,False,2
130,game,1,Half-Life: Blue Shift,Half-Life: Blue Shift,False,162
491650,game,1,Reset 1-1,Reset 1-1,False,6
360580,game,1,Abduction Action! Plus,Abduction Action! Plus,False,2
32900,game,1,Restaurant Empire II,Restaurant Empire II,False,5
721030,game,1,La Tale - Evolved,La Tale - Evolved,False,1
557190,game,1,BuildMoreCubes,BuildMoreCubes,False,1
262280,game,1,Dungeons 2,Dungeons 2,False,49
1409160,game,1,Plasma,Plasma,False,1
1474700,game,1,MONOPOLY Poker,MONOPOLY Poker,False,10
655500,game,1,MX Bikes,MX Bikes,False,1
360590,game,1,"Once Bitten, Twice Dead","Once Bitten, Twice Dead",False,4
852110,game,1,RetroMaze,RetroMaze,False,1
229520,game,1,Dungeon Hearts,Dungeon Hearts,False,10
1704080,game,1,Bean Stalker,Bean Stalker,False,1
491660,game,1,Assault on the Necrospire,Assault on the Necrospire,False,1
524440,game,1,Tom Clancy's The Division PTS,Tom Clancy's The Division PTS,False,68
360600,game,1,99 Waves to Die,99 Waves to Die,False,1
262300,game,1,Tsukumogami,Tsukumogami,False,5
65700,game,1,Arma 2: British Armed Forces,Arma 2: British Armed Forces,False,39
393380,game,1,Squad,Squad,False,98
1081510,game,1,She Sees Red,She Sees Red,False,2
458920,game,1,Carnival Games® VR,Carnival Games® VR,False,3
1671340,game,1,Fears to Fathom - Episode 1,Fears to Fathom - Episode 1,False,6
360620,game,1,Spellsworn,Spellsworn,False,16
65710,game,1,Pat & Mat,Pat & Mat,False,5
1409200,game,1,HYPERVIOLENT,HYPERVIOLENT,False,9
1114290,game,1,Windjammers 2,Windjammers 2,False,10
